tavg,prcp,snow,year,month,day,hour,wind,wind_flag
7.9,1,0,2020,1,1,0,21.85,0
7.8,1,0,2020,1,2,0,22.15,0
7.1,1,0,2020,1,3,0,23.6,0
7.9,1,0,2020,1,4,0,26.95,0
8.5,1,0,2020,1,5,0,28.25,0
8.3,1,0,2020,1,6,0,22.85,0
8.2,1,0,2020,1,7,0,25.4,0
9.1,1,0,2020,1,8,0,23.25,0
9.5,1,0,2020,1,9,0,22.200000000000003,0
9.3,1,0,2020,1,10,0,19.75,0
7.2,1,0,2020,1,11,0,23.200000000000003,0
6.4,1,0,2020,1,12,0,23.4,0
7.2,1,0,2020,1,13,0,23.6,0
7.8,1,0,2020,1,14,0,22.1,0
7.8,1,0,2020,1,15,0,24.549999999999997,0
9.0,1,0,2020,1,16,0,21.4,0
12.3,1,0,2020,1,17,0,30.400000000000002,1
9.9,1,0,2020,1,18,0,22.3,0
10.7,1,0,2020,1,19,0,53.8,1
9.7,1,0,2020,1,20,0,75.1,1
10.4,1,0,2020,1,21,0,78.25,1
12.6,1,0,2020,1,22,0,48.400000000000006,1
12.2,1,0,2020,1,23,0,33.05,1
9.7,1,0,2020,1,24,0,21.1,0
10.7,1,0,2020,1,25,0,18.5,0
11.4,1,0,2020,1,26,0,17.25,0
10.4,1,0,2020,1,27,0,28.85,0
13.6,1,0,2020,1,28,0,35.0,1
11.2,1,0,2020,1,29,0,17.549999999999997,0
12.3,1,0,2020,1,30,0,18.45,0
13.1,1,0,2020,1,31,0,18.05,0
13.4,1,0,2020,2,1,0,15.25,0
14.6,1,0,2020,2,2,0,20.75,0
15.4,1,0,2020,2,3,0,18.7,0
14.7,1,0,2020,2,4,0,22.299999999999997,0
10.4,1,0,2020,2,5,0,20.25,0
9.5,1,0,2020,2,6,0,23.65,0
9.9,1,0,2020,2,7,0,17.05,0
10.3,1,0,2020,2,8,0,15.45,0
11.1,1,0,2020,2,9,0,29.7,0
14.6,1,0,2020,2,10,0,31.1,1
13.7,1,0,2020,2,11,0,18.35,0
12.3,1,0,2020,2,12,0,20.1,0
12.8,1,0,2020,2,13,0,31.6,1
12.1,1,0,2020,2,14,0,17.3,0
12.3,1,0,2020,2,15,0,23.799999999999997,0
13.8,1,0,2020,2,16,0,32.85,1
13.9,1,0,2020,2,17,0,26.65,0
11.7,1,0,2020,2,18,0,20.0,0
9.9,1,0,2020,2,19,0,20.95,0
10.2,1,0,2020,2,20,0,26.85,0
11.3,1,0,2020,2,21,0,24.799999999999997,0
11.5,1,0,2020,2,22,0,19.9,0
12.3,1,0,2020,2,23,0,25.900000000000002,0
12.9,1,0,2020,2,24,0,26.05,0
11.8,1,0,2020,2,25,0,19.2,0
